ID_LONG,CONDITION_ID,TRIAL_NB,MAIN_SUPPORT,PRE_LIKES,POST_LIKES,AGE,FB_MODALITY,FB_OPTIMALITY,VALENCE,CONTEXT,PRE_FB_MODALITY,PRE_FB_OPTIMALITY,PRE_VALENCE,PRE_CONTEXT
1,1,1,70,70,57,21,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
1,1,2,69,66,45,21,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
1,1,3,80,80,78,21,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
1,1,4,70,79,60,21,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
1,2,5,44,10,49,21,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
1,2,6,65,72,63,21,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
1,2,7,65,50,64,21,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
1,2,8,66,70,64,21,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
1,3,9,70,78,61,21,Tactile,Optimal,Positive,Social,Visual,Optimal,Positive,Individual
1,3,10,67,13,65,21,Tactile,Optimal,Positive,Social,Visual,Optimal,Positive,Individual
1,3,11,66,58,65,21,Tactile,Optimal,Positive,Social,Visual,Suboptimal,Positive,Individual
1,3,12,63,67,60,21,Tactile,Optimal,Positive,Social,Visual,Suboptimal,Positive,Individual
1,4,13,40,70,51,21,Tactile,Suboptimal,Positive,Social,Visual,Optimal,Positive,Individual
1,4,14,50,70,43,21,Tactile,Suboptimal,Positive,Social,Visual,Optimal,Positive,Individual
1,4,15,59,49,15,21,Tactile,Suboptimal,Positive,Social,Visual,Suboptimal,Positive,Individual
1,4,16,67,69,19,21,Tactile,Suboptimal,Positive,Social,Visual,Suboptimal,Positive,Individual
1,5,17,60,85,67,21,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
1,5,18,60,74,55,21,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
1,5,19,77,40,61,21,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
1,5,20,70,59,61,21,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
1,6,21,61,83,59,21,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
1,6,22,63,80,48,21,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
