ID_LONG,PTO1_PRE,PTO2_PRE,PTO3_PRE,PTO4_PRE,PTO5_PRE,PTO6_PRE,PTO7_PRE,PTO8_PRE,PTO_PRE_TOTAL,PTS1_PRE,PTS2_PRE,PTS3_PRE,PTS4_PRE,PTS5_PRE,PTS6_PRE,PTS7_PRE,PTS8_PRE,PTS_PRE_TOTAL,PVO1_PRE,PVO2_PRE,PVO3_PRE,PVO4_PRE,PVO5_PRE,PVO6_PRE,PVO7_PRE,PVO8_PRE,PVO_PRE_TOTAL,PVS1_PRE,PVS2_PRE,PVS3_PRE,PVS4_PRE,PVS5_PRE,PVS6_PRE,PVS7_PRE,PVS8_PRE,PVS_PRE_TOTAL,NTO1_PRE,NTO2_PRE,NTO3_PRE,NTO4_PRE,NTO5_PRE,NTO6_PRE,NTO7_PRE,NTO8_PRE,NTO_PRE_TOTAL,NTS1_PRE,NTS2_PRE,NTS3_PRE,NTS4_PRE,NTS5_PRE,NTS6_PRE,NTS7_PRE,NTS8_PRE,NTS_PRE_TOTAL,NVO1_PRE,NVO2_PRE,NVO3_PRE,NVO4_PRE,NVO5_PRE,NVO6_PRE,NVO7_PRE,NVO8_PRE,NVO_PRE_TOTAL,NVS1_PRE,NVS2_PRE,NVS3_PRE,NVS4_PRE,NVS5_PRE,NVS6_PRE,NVS7_PRE,NVS8_PRE,NVS_PRE_TOTAL,PTO1_POST,PTO2_POST,PTO3_POST,PTO4_POST,PTO5_POST,PTO6_POST,PTO7_POST,PTO8_POST,PTO_POST_TOTAL,PTS1_POST,PTS2_POST,PTS3_POST,PTS4_POST,PTS5_POST,PTS6_POST,PTS7_POST,PTS8_POST,PTS_POST_TOTAL,PVO1_POST,PVO2_POST,PVO3_POST,PVO4_POST,PVO5_POST,PVO6_POST,PVO7_POST,PVO8_POST,PVO_POST_TOTAL,PVS1_POST,PVS2_POST,PVS3_POST,PVS4_POST,PVS5_POST,PVS6_POST,PVS7_POST,PVS8_POST,PVS_POST_TOTAL,NTO1_POST,NTO2_POST,NTO3_POST,NTO4_POST,NTO5_POST,NTO6_POST,NTO7_POST,NTO8_POST,NTO_POST_TOTAL,NTS1_POST,NTS2_POST,NTS3_POST,NTS4_POST,NTS5_POST,NTS6_POST,NTS7_POST,NTS8_POST,NTS_POST_TOTAL,NVO1_POST,NVO2_POST,NVO3_POST,NVO4_POST,NVO5_POST,NVO6_POST,NVO7_POST,NVO8_POST,NVO_POST_TOTAL,NVS1_POST,NVS2_POST,NVS3_POST,NVS4_POST,NVS5_POST,NVS6_POST,NVS7_POST,NVS8_POST,NVS_POST_TOTAL,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,POSITIVE_AFFECT_TOTAL,NEGATIVE_AFFECT_TOTAL,TAS_1,TAS_2,TAS_3,TAS_4,TAS_5,TAS_6,TAS_7,TAS_8,TAS_9,TAS_10,TAS_11,TAS_12,TAS_13,TAS_14,TAS_15,TAS_16,TAS_17,TAS_18,TAS_19,TAS_20,TAS_TOTAL,STQ_1,STQ_2,STQ_3,STQ_4,STQ_5,STQ_6,STQ_7,STQ_8,STQ_9,STQ_10,STQ_11,STQ_12,STQ_13,STQ_14,STQ_15,STQ_16,STQ_17,STQ_18,STQ_19,STQ_20,STQ_TOTAL,SAQ_1,SAQ_2,SAQ_3,SAQ_4,SAQ_5,SAQ_6,SAQ_7,SAQ_8,SAQ_9,SAQ_10,SAQ_11,SAQ_12,SAQ_13,SAQ_14,SAQ_15,SAQ_16,SAQ_17,SAQ_18,SAQ_19,SAQ_20,SAQ_21,SAQ_22,SAQ_23,SAQ_24,SAQ_25,SAQ_26,SAQ_27,SAQ_28,SAQ_29,SAQ_30,SAQ_TOTAL,SAQ_PUBLIC,SAQ_INTERACTIONS,SAQ_ASSERTIVE,SAQ_CRITICISM,SAQ_STRANGERS,BAQ_1,BAQ_2,BAQ_3,BAQ_4,BAQ_5,BAQ_6,BAQ_7,BAQ_8,BAQ_9,BAQ_10,BAQ_11,BAQ_12,BAQ_13,BAQ_14,BAQ_15,BAQ_16,BAQ_17,BAQ_18,BAQ_TOTAL,SNS_FREQUENCY,SNS_2,SNS_3,SNS_COMMENTS,SNS_CHECK,SNS_VISIT,SNS_SHARE,SNS_STATUS,SNS_PM,SNS_PROFILE,SNS_11,SNS_PHOTOS,SNS_NOTES,SNS_14,SNS_15,SNS_16,SNS_17,SNS_18,SNS_19,SNS_20,SNS_21,SNS_TOTAL
1,70,66,80,79,85,74,40,59,69.13,10,72,50,70,83,80,79,80,65.50,78,13,70,70,49,80,61,51,59.00,58,67,49,69,80,71,61,80,66.88,58,39,60,30,77,64,61,62,56.38,60,60,60,60,79,71,60,30,60.00,60,30,70,59,39,40,70,51,52.38,60,35,40,59,80,67,53,80,59.25,57,45,78,60,67,55,61,61,60.50,49,63,64,64,59,48,62,58,58.38,61,65,51,43,49,59,55,54,54.63,65,60,15,19,39,29,19,52,37.25,47,33,37,68,66,39,66,50,50.75,55,61,54,65,43,56,70,37,55.13,51,55,56,36,41,72,45,57,51.63,45,38,34,55,56,62,45,72,50.88,1,1,1,4,1,1,3,1,1,1,4,3,2,3,1,170.875,143,2,2,2,2,4,1,1,5,2,3,2,1,2,1,5,5,3,4,4,1,52,1,3,3,4,2,4,0,1,4,0,4,1,4,3,3,0,0,2,4,0,43,2,1,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,45,10,9,8,12,6,7,4,6,6,6,6,6,3,5,3,6,5,5,5,6,5,7,6,97,5,3,3,3,4,3,1,3,4,3,4,3,3,1,4,1,4,1,4,1,4,32
2,94,88,97,96,45,80,86,93,84.88,81,74,92,100,99,85,48,92,83.88,81,89,56,52,86,90,92,79,78.13,94,90,75,95,63,57,76,12,70.25,33,3,5,33,11,4,37,27,19.13,22,78,5,20,5,81,10,57,34.75,11,13,12,30,24,4,5,2,12.63,5,5,4,19,11,15,17,24,12.50,90,89,100,91,96,67,88,95,89.50,73,91,22,98,99,82,29,86,72.50,85,100,53,49,96,98,86,100,83.38,72,84,86,100,100,68,78,66,81.75,34,5,18,8,58,0,48,0,21.38,7,8,0,0,3,12,10,12,6.50,5,25,9,8,19,18,16,5,13.13,0,16,92,3,4,18,11,3,18.38,1,1,1,5,4,1,4,1,5,1,5,5,1,5,1,66.375,29,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,4,1,30,0,3,0,4,1,4,3,0,0,3,1,0,1,1,4,0,1,4,1,0,31,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,37,7,6,9,7,8,4,5,3,7,6,6,7,6,2,7,4,2,3,6,6,5,5,6,90,4,3,2,4,5,3,3,3,3,3,5,5,5,2,6,1,6,1,6,6,6,38
3,88,86,72,59,78,81,81,92,79.63,31,79,87,70,69,79,79,88,72.75,85,81,81,80,31,72,89,30,68.63,18,80,76,74,81,80,46,81,67.00,9,10,83,8,78,6,80,21,36.88,69,80,81,50,24,82,69,80,66.88,82,71,72,25,28,80,30,69,57.13,8,78,70,37,78,34,81,80,58.25,63,85,75,77,84,70,75,70,74.88,18,76,74,37,75,76,67,75,62.25,70,27,72,73,73,73,83,71,67.75,53,34,69,72,51,82,66,61,61.00,24,79,62,77,75,73,73,82,68.13,79,30,70,71,77,19,84,76,63.25,74,69,75,46,64,63,29,43,57.88,21,50,72,77,65,17,74,63,54.88,2,2,2,4,4,1,2,1,4,2,4,4,3,4,2,219.875,95,4,4,3,2,2,5,3,4,4,2,4,4,4,4,5,3,5,1,1,3,67,4,1,2,4,0,2,4,0,4,4,3,1,3,2,3,3,4,0,2,0,46,4,4,2,4,2,2,4,4,3,2,4,2,2,2,4,4,2,3,2,3,4,2,4,3,4,4,4,5,5,2,96,20,19,19,24,14,5,4,5,6,6,6,6,4,3,2,4,4,6,6,6,4,4,5,86,1,1,1,1,6,5,4,4,4,1,3,5,6,1,1,1,1,1,1,1,1,37
5,17,21,91,75,90,59,20,17,48.75,10,9,40,62,70,50,0,36,34.63,16,6,20,5,30,57,80,20,29.25,6,5,5,32,40,20,16,44,21.00,10,20,64,5,75,10,59,20,32.88,19,29,9,14,80,9,66,75,37.63,40,30,16,9,19,39,9,17,22.38,30,20,40,59,19,30,51,29,34.75,6,88,87,10,91,57,26,42,50.88,65,6,15,18,48,43,6,16,27.13,9,5,16,30,16,49,14,5,18.00,8,8,60,5,40,38,14,16,23.63,19,10,20,6,80,9,18,20,22.75,20,10,17,35,58,49,60,40,36.13,23,20,20,9,9,7,19,14,15.13,3,30,25,26,74,4,14,33,26.13,1,1,1,3,1,1,3,1,1,1,1,1,1,3,1,127.125,45,3,3,4,2,2,4,2,3,3,2,3,2,3,3,3,2,3,3,3,3,56,3,2,1,3,0,3,0,2,0,3,3,3,0,4,3,3,1,3,1,3,41,1,3,1,3,3,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,39,6,8,12,6,7,4,3,5,5,5,6,6,6,6,5,5,6,6,6,6,6,6,7,99,7,3,6,3,6,5,1,3,3,2,4,3,5,3,3,3,2,2,4,4,4,38
6,62,29,72,37,56,58,53,0,45.88,34,38,53,28,59,43,46,26,40.88,0,58,37,32,41,67,37,38,38.75,15,51,25,40,35,36,53,70,40.63,37,45,60,28,30,46,62,33,42.63,56,37,52,63,66,43,65,72,56.75,54,39,43,44,45,70,36,27,44.75,27,66,71,53,43,35,22,75,49.00,43,65,60,40,81,35,40,64,53.50,43,42,68,28,66,64,66,66,55.38,66,67,38,34,70,59,63,33,53.75,26,42,30,47,53,41,48,72,44.88,63,48,53,41,78,45,47,31,50.75,63,60,69,44,81,34,68,57,59.50,64,53,61,58,73,49,42,63,57.88,34,65,70,65,70,42,43,69,57.25,2,2,1,2,3,1,2,1,2,2,3,3,1,3,2,188.25,123,2,3,1,3,2,1,1,2,2,3,3,2,2,1,4,2,4,2,2,2,44,4,2,1,4,1,4,2,1,1,1,3,2,1,4,4,1,1,3,1,2,43,2,3,3,4,2,3,3,2,3,2,2,3,2,2,2,3,2,3,2,4,3,2,4,3,3,3,5,3,3,4,85,18,24,15,16,12,2,3,5,2,5,5,5,4,5,5,3,3,3,4,5,5,5,3,72,6,3,4,3,5,3,1,2,3,3,3,4,4,4,5,2,4,3,3,1,3,34
7,15,20,30,5,20,5,20,5,15.00,35,10,15,10,20,15,5,15,15.63,10,5,10,10,10,5,10,5,8.13,5,10,5,10,40,5,5,30,13.75,2,2,3,2,2,2,3,5,2.63,40,5,5,5,5,5,2,10,9.63,10,5,3,5,3,5,5,4,5.00,1,2,2,5,50,5,3,3,8.88,15,10,20,10,20,10,10,10,13.13,40,10,20,10,20,10,15,20,18.13,10,10,10,10,10,10,10,10,10.00,10,10,10,10,50,10,10,20,16.25,5,5,5,10,5,5,5,5,5.63,40,5,5,5,5,5,10,10,10.63,10,5,5,5,5,5,5,5,5.63,5,5,5,5,30,5,5,10,8.75,1,1,1,3,1,1,2,1,1,1,2,3,1,1,1,56.75,23,3,4,1,4,3,4,1,4,4,2,4,4,2,1,4,4,4,3,3,4,63,2,1,1,3,0,4,1,0,3,2,2,3,2,4,4,1,1,3,2,2,41,2,3,5,5,3,2,4,1,2,2,2,5,2,3,3,5,2,4,1,5,4,2,5,4,5,3,5,3,4,5,101,27,27,16,19,12,1,3,3,1,3,3,2,1,1,4,1,1,3,5,1,1,3,3,40,6,2,5,2,7,2,1,2,3,3,5,5,5,3,5,1,5,2,3,4,5,36
8,80,70,65,10,70,30,2,20,43.38,30,0,70,20,30,10,40,5,25.63,10,40,20,10,60,10,5,0,19.38,0,0,0,50,40,5,10,20,15.63,10,30,50,0,20,7,30,5,19.00,45,12,30,10,70,20,75,35,37.13,15,5,20,10,25,45,10,0,16.25,10,5,25,50,75,10,3,40,27.25,60,60,50,5,60,20,10,20,35.63,10,0,40,30,30,7,15,15,18.38,5,50,20,10,30,15,5,0,16.88,0,0,0,39,40,5,5,40,16.13,5,20,30,0,10,5,20,5,11.88,10,4,60,20,40,20,40,50,30.50,15,10,10,5,10,5,20,5,10.00,10,10,15,20,15,5,4,50,16.13,1,1,1,3,2,1,1,1,2,1,2,2,1,2,1,49.125,63,1,1,1,3,3,1,1,1,1,3,1,1,1,1,3,3,3,3,2,2,36,3,1,3,4,1,4,3,0,4,4,4,3,1,4,4,2,2,2,3,0,52,4,5,4,4,4,5,5,3,3,3,4,4,3,5,4,5,4,4,1,3,4,4,4,3,5,5,5,4,3,3,117,25,24,26,23,19,1,1,1,1,1,1,1,1,1,7,1,1,2,2,1,1,1,2,27,7,1,3,3,2,3,1,2,3,2,3,3,3,3,4,3,4,2,4,2,3,29
10,18,20,17,7,28,5,14,8,14.63,9,15,17,9,15,7,17,7,12.00,15,7,11,6,10,29,12,7,12.13,5,8,15,17,25,10,15,11,13.25,6,0,1,3,0,0,6,0,2.00,11,0,9,14,0,2,8,16,7.50,5,3,8,3,5,4,7,6,5.13,3,11,11,4,10,11,6,16,9.00,3,7,18,2,1,68,18,34,18.88,22,13,26,27,23,17,8,11,18.38,26,8,12,9,17,11,51,24,19.75,47,0,4,20,20,25,18,8,17.75,0,0,1,4,0,0,3,0,1.00,17,0,12,3,0,4,8,11,6.88,6,17,4,0,12,10,16,0,8.13,0,6,11,1,11,0,0,9,4.75,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,43.75,17,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,2,1,26,1,1,2,3,0,4,0,0,2,1,0,1,0,1,4,1,0,2,2,1,26,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,36,6,11,6,7,6,5,4,7,7,6,5,7,6,6,3,6,6,6,6,6,6,6,6,104,5,2,2,2,5,3,1,2,3,1,4,3,3,2,6,1,6,2,6,1,6,28
11,66,86,91,16,97,43,61,56,64.50,14,31,89,61,90,71,46,35,54.63,56,66,45,14,65,24,39,42,43.88,37,73,17,80,53,43,46,80,53.63,33,32,63,16,46,7,64,53,39.25,76,65,6,84,87,42,73,34,58.38,65,43,46,5,27,66,77,5,41.75,54,23,53,26,67,17,16,75,41.38,90,90,94,18,97,52,66,69,72.00,25,30,89,45,95,82,50,57,59.13,83,80,56,28,89,31,75,28,58.75,28,77,12,79,70,21,53,84,53.00,26,30,90,16,53,17,66,38,42.00,85,74,1,89,83,40,33,30,54.38,80,52,67,30,42,17,60,15,45.38,20,42,58,64,63,14,21,88,46.25,2,1,1,4,4,2,1,1,2,2,3,1,2,2,1,147.25,114,1,2,3,2,2,1,2,1,2,2,2,1,1,1,2,2,4,2,1,4,38,1,3,2,2,1,1,1,0,0,4,0,0,3,0,0,2,2,0,3,1,26,4,3,4,4,1,2,3,5,4,1,4,5,3,1,2,5,3,5,4,3,4,4,4,4,2,3,5,4,3,4,103,22,22,16,26,17,5,1,4,6,6,6,4,7,6,4,7,6,6,6,7,5,7,6,99,7,2,3,2,7,5,1,2,3,2,4,5,5,3,6,1,6,5,6,3,6,39
12,50,50,78,30,69,70,36,41,53.00,9,50,51,48,29,50,36,20,36.63,9,12,21,61,11,17,24,22,22.13,49,25,31,56,70,18,18,69,42.00,11,57,30,18,75,24,55,81,43.88,20,69,66,38,21,39,39,13,38.13,62,54,49,13,40,28,74,60,47.50,66,29,68,34,29,37,25,86,46.75,30,63,59,23,72,22,28,70,45.88,14,45,50,12,48,68,14,39,36.25,22,30,51,72,36,24,11,27,34.13,41,45,65,29,63,18,34,69,45.50,32,21,36,40,40,51,44,57,40.13,18,41,73,20,49,33,48,50,41.50,64,23,42,7,44,27,65,33,38.13,17,33,61,59,69,14,47,29,41.13,1,1,1,4,2,1,5,1,5,1,5,5,1,5,1,188.125,51,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,28,0,0,0,4,0,2,0,0,3,0,0,0,0,0,4,0,0,4,0,0,17,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,6,6,6,7,6,1,7,7,7,5,1,7,5,5,7,5,1,1,5,1,1,5,6,77,3,1,4,4,3,3,2,1,1,3,3,3,3,3,5,1,5,3,1,1,5,26
