subjId,RATING,OPTIMALITY,MEDIUM
1001,90,OPTIMAL,SCAT
1002,72,OPTIMAL,SCAT
1004,37.5,OPTIMAL,SCAT
1005,70.5,OPTIMAL,SCAT
1006,79,OPTIMAL,SCAT
1007,45,OPTIMAL,SCAT
1008,60,OPTIMAL,SCAT
1010,40,OPTIMAL,SCAT
1011,80.5,OPTIMAL,SCAT
1012,67,OPTIMAL,SCAT
1014,9.5,OPTIMAL,SCAT
1015,60,OPTIMAL,SCAT
1016,42.5,OPTIMAL,SCAT
1017,70,OPTIMAL,SCAT
1018,100,OPTIMAL,SCAT
1019,70,OPTIMAL,SCAT
1020,80,OPTIMAL,SCAT
1021,80,OPTIMAL,SCAT
1022,55,OPTIMAL,SCAT
1023,67.5,OPTIMAL,SCAT
1024,80,OPTIMAL,SCAT
1025,57.5,OPTIMAL,SCAT
1026,75,OPTIMAL,SCAT
1027,45,OPTIMAL,SCAT
1028,30,OPTIMAL,SCAT
1029,97.5,OPTIMAL,SCAT
1030,45,OPTIMAL,SCAT
1031,50,OPTIMAL,SCAT
1032,70,OPTIMAL,SCAT
1033,32.5,OPTIMAL,SCAT
1034,60,OPTIMAL,SCAT
1035,67.5,OPTIMAL,SCAT
1036,70,OPTIMAL,SCAT
1037,60,OPTIMAL,SCAT
1038,65,OPTIMAL,SCAT
1039,50,OPTIMAL,SCAT
1040,40,OPTIMAL,SCAT
1041,80,OPTIMAL,SCAT
1043,48.5,OPTIMAL,SCAT
1044,52.5,OPTIMAL,SCAT
1045,65,OPTIMAL,SCAT
1046,80,OPTIMAL,SCAT
1047,62.5,OPTIMAL,SCAT
1048,92,OPTIMAL,SCAT
1050,65.5,OPTIMAL,SCAT
1051,80,OPTIMAL,SCAT
1052,45,OPTIMAL,SCAT
1053,80,OPTIMAL,SCAT
1054,82.5,OPTIMAL,SCAT
1055,50,OPTIMAL,SCAT
1056,42.5,OPTIMAL,SCAT
1001,60.5,SUBOPTIMAL,SCAT
1002,20,SUBOPTIMAL,SCAT
1004,25,SUBOPTIMAL,SCAT
1005,45,SUBOPTIMAL,SCAT
1006,74.5,SUBOPTIMAL,SCAT
1007,35,SUBOPTIMAL,SCAT
1008,30,SUBOPTIMAL,SCAT
1010,45,SUBOPTIMAL,SCAT
1011,70,SUBOPTIMAL,SCAT
1012,50,SUBOPTIMAL,SCAT
1014,12.5,SUBOPTIMAL,SCAT
1015,85,SUBOPTIMAL,SCAT
1016,20,SUBOPTIMAL,SCAT
1017,52.5,SUBOPTIMAL,SCAT
1018,85,SUBOPTIMAL,SCAT
1019,52.5,SUBOPTIMAL,SCAT
1020,30,SUBOPTIMAL,SCAT
1021,60,SUBOPTIMAL,SCAT
1022,45,SUBOPTIMAL,SCAT
1024,80,SUBOPTIMAL,SCAT
1025,40,SUBOPTIMAL,SCAT
1026,30,SUBOPTIMAL,SCAT
1027,50,SUBOPTIMAL,SCAT
1028,10,SUBOPTIMAL,SCAT
1029,100,SUBOPTIMAL,SCAT
1030,60.5,SUBOPTIMAL,SCAT
1031,53.5,SUBOPTIMAL,SCAT
1032,60,SUBOPTIMAL,SCAT
1033,25,SUBOPTIMAL,SCAT
1034,35,SUBOPTIMAL,SCAT
1035,40,SUBOPTIMAL,SCAT
1036,70,SUBOPTIMAL,SCAT
1037,27.5,SUBOPTIMAL,SCAT
1038,40,SUBOPTIMAL,SCAT
1039,50,SUBOPTIMAL,SCAT
1040,67.5,SUBOPTIMAL,SCAT
1041,40,SUBOPTIMAL,SCAT
1043,25,SUBOPTIMAL,SCAT
1044,25,SUBOPTIMAL,SCAT
1045,40,SUBOPTIMAL,SCAT
1046,40,SUBOPTIMAL,SCAT
1047,37.5,SUBOPTIMAL,SCAT
1048,67.5,SUBOPTIMAL,SCAT
1050,55,SUBOPTIMAL,SCAT
1051,40,SUBOPTIMAL,SCAT
1052,30,SUBOPTIMAL,SCAT
1053,40,SUBOPTIMAL,SCAT
1054,35,SUBOPTIMAL,SCAT
1055,40,SUBOPTIMAL,SCAT
1056,25,SUBOPTIMAL,SCAT
1001,83.33,OPTIMAL,MANUAL
1002,56.67,OPTIMAL,MANUAL
1004,48.33,OPTIMAL,MANUAL
1005,54.33,OPTIMAL,MANUAL
1006,75.83,OPTIMAL,MANUAL
1007,56.67,OPTIMAL,MANUAL
1008,85.83,OPTIMAL,MANUAL
1010,46.67,OPTIMAL,MANUAL
1011,80,OPTIMAL,MANUAL
1012,100,OPTIMAL,MANUAL
1014,22.5,OPTIMAL,MANUAL
1015,63.33,OPTIMAL,MANUAL
1016,50,OPTIMAL,MANUAL
1017,76.67,OPTIMAL,MANUAL
1018,90,OPTIMAL,MANUAL
1019,76.67,OPTIMAL,MANUAL
1020,92.83,OPTIMAL,MANUAL
1021,97.5,OPTIMAL,MANUAL
1022,86.5,OPTIMAL,MANUAL
1023,20,OPTIMAL,MANUAL
1024,79.17,OPTIMAL,MANUAL
1025,70.83,OPTIMAL,MANUAL
1026,22.83,OPTIMAL,MANUAL
1027,69.17,OPTIMAL,MANUAL
1028,93.33,OPTIMAL,MANUAL
1029,99.17,OPTIMAL,MANUAL
1030,61.67,OPTIMAL,MANUAL
1031,68.67,OPTIMAL,MANUAL
1032,68.5,OPTIMAL,MANUAL
1033,72.5,OPTIMAL,MANUAL
1034,62.5,OPTIMAL,MANUAL
1035,79.17,OPTIMAL,MANUAL
1036,56.67,OPTIMAL,MANUAL
1037,31.67,OPTIMAL,MANUAL
1038,70.17,OPTIMAL,MANUAL
1039,63.33,OPTIMAL,MANUAL
1040,52.67,OPTIMAL,MANUAL
1041,60,OPTIMAL,MANUAL
1043,83,OPTIMAL,MANUAL
1044,83.33,OPTIMAL,MANUAL
1045,75.83,OPTIMAL,MANUAL
1046,82.5,OPTIMAL,MANUAL
1047,66.67,OPTIMAL,MANUAL
1048,85,OPTIMAL,MANUAL
1050,75,OPTIMAL,MANUAL
1051,65,OPTIMAL,MANUAL
1052,50,OPTIMAL,MANUAL
1053,82.5,OPTIMAL,MANUAL
1054,65.83,OPTIMAL,MANUAL
1055,87.5,OPTIMAL,MANUAL
1056,64,OPTIMAL,MANUAL
1001,63.33,SUBOPTIMAL,MANUAL
1002,35,SUBOPTIMAL,MANUAL
1004,16.67,SUBOPTIMAL,MANUAL
1005,36.83,SUBOPTIMAL,MANUAL
1006,73.17,SUBOPTIMAL,MANUAL
1007,45,SUBOPTIMAL,MANUAL
1008,31.67,SUBOPTIMAL,MANUAL
1010,30,SUBOPTIMAL,MANUAL
1011,63.33,SUBOPTIMAL,MANUAL
1012,37.17,SUBOPTIMAL,MANUAL
1014,14.5,SUBOPTIMAL,MANUAL
1015,65,SUBOPTIMAL,MANUAL
1016,31.67,SUBOPTIMAL,MANUAL
1017,68,SUBOPTIMAL,MANUAL
1018,92.5,SUBOPTIMAL,MANUAL
1019,68,SUBOPTIMAL,MANUAL
1020,88.33,SUBOPTIMAL,MANUAL
1021,33.33,SUBOPTIMAL,MANUAL
1022,32.5,SUBOPTIMAL,MANUAL
1024,44.17,SUBOPTIMAL,MANUAL
1025,56.67,SUBOPTIMAL,MANUAL
1026,16.33,SUBOPTIMAL,MANUAL
1027,72.5,SUBOPTIMAL,MANUAL
1028,78.33,SUBOPTIMAL,MANUAL
1029,94.17,SUBOPTIMAL,MANUAL
1030,60,SUBOPTIMAL,MANUAL
1031,72.5,SUBOPTIMAL,MANUAL
1032,55.83,SUBOPTIMAL,MANUAL
1033,21.67,SUBOPTIMAL,MANUAL
1034,33.33,SUBOPTIMAL,MANUAL
1035,63.33,SUBOPTIMAL,MANUAL
1036,58.33,SUBOPTIMAL,MANUAL
1037,30.83,SUBOPTIMAL,MANUAL
1038,15,SUBOPTIMAL,MANUAL
1039,15,SUBOPTIMAL,MANUAL
1040,27.5,SUBOPTIMAL,MANUAL
1041,26.67,SUBOPTIMAL,MANUAL
1043,18.33,SUBOPTIMAL,MANUAL
1044,66.67,SUBOPTIMAL,MANUAL
1045,72.5,SUBOPTIMAL,MANUAL
1046,25,SUBOPTIMAL,MANUAL
1047,46.67,SUBOPTIMAL,MANUAL
1048,86.67,SUBOPTIMAL,MANUAL
1050,47.5,SUBOPTIMAL,MANUAL
1051,20,SUBOPTIMAL,MANUAL
1052,70,SUBOPTIMAL,MANUAL
1053,35,SUBOPTIMAL,MANUAL
1054,58.33,SUBOPTIMAL,MANUAL
1055,65.83,SUBOPTIMAL,MANUAL
1056,36.5,SUBOPTIMAL,MANUAL
